stock_ticker,company_name,weight,sector,country,market_cap,style_box
MSFT,Microsoft Corporation,0.16,Technology,United States,3100000000000,Blend
AAPL,Apple Inc.,0.15,Technology,United States,2800000000000,Blend
NVDA,NVIDIA Corporation,0.14,Technology,United States,2200000000000,Growth
AMZN,Amazon.com Inc.,0.10,Consumer Discretionary,United States,1850000000000,Growth
META,Meta Platforms Inc.,0.09,Communication Services,United States,1200000000000,Growth
GOOGL,Alphabet Inc. Class A,0.09,Communication Services,United States,1800000000000,Growth
AVGO,Broadcom Inc.,0.07,Technology,United States,650000000000,Growth
TSLA,Tesla Inc.,0.06,Consumer Discretionary,United States,550000000000,Growth
NFLX,Netflix Inc.,0.05,Communication Services,United States,280000000000,Growth
COST,Costco Wholesale Corporation,0.04,Consumer Staples,United States,350000000000,Blend
AMD,Advanced Micro Devices Inc.,0.03,Technology,United States,350000000000,Growth
ADBE,Adobe Inc.,0.02,Technology,United States,250000000000,Growth

