etf_ticker,label_region,label_focus,underlying_ticker,company_name,holding_weight,sector,country_domicile,region,currency,market_cap_bucket,country_code,revenue_north_america,revenue_europe,revenue_asia_pacific,revenue_emerging_markets,revenue_latin_america,revenue_middle_east_africa
QQQ,North America,Nasdaq 100,MSFT,Microsoft Corporation,0.16,Technology,United States,North America,USD,Mega Cap,USA,0.50,0.22,0.14,0.08,0.03,0.03
QQQ,North America,Nasdaq 100,AAPL,Apple Inc.,0.15,Technology,United States,North America,USD,Mega Cap,USA,0.45,0.22,0.18,0.08,0.03,0.04
QQQ,North America,Nasdaq 100,NVDA,NVIDIA Corporation,0.14,Technology,United States,North America,USD,Mega Cap,USA,0.38,0.18,0.22,0.16,0.03,0.03
QQQ,North America,Nasdaq 100,AMZN,Amazon.com Inc.,0.10,Consumer Discretionary,United States,North America,USD,Mega Cap,USA,0.68,0.16,0.08,0.04,0.02,0.02
QQQ,North America,Nasdaq 100,META,Meta Platforms Inc.,0.09,Communication Services,United States,North America,USD,Mega Cap,USA,0.48,0.24,0.12,0.10,0.03,0.03
QQQ,North America,Nasdaq 100,GOOGL,Alphabet Inc. Class A,0.09,Communication Services,United States,North America,USD,Mega Cap,USA,0.46,0.29,0.12,0.08,0.02,0.03
QQQ,North America,Nasdaq 100,AVGO,Broadcom Inc.,0.07,Technology,United States,North America,USD,Mega Cap,USA,0.32,0.22,0.20,0.18,0.04,0.04
QQQ,North America,Nasdaq 100,TSLA,Tesla Inc.,0.06,Consumer Discretionary,United States,North America,USD,Mega Cap,USA,0.48,0.18,0.16,0.12,0.03,0.03
QQQ,North America,Nasdaq 100,NFLX,Netflix Inc.,0.05,Communication Services,United States,North America,USD,Large Cap,USA,0.52,0.20,0.12,0.10,0.03,0.03
QQQ,North America,Nasdaq 100,COST,Costco Wholesale Corporation,0.04,Consumer Staples,United States,North America,USD,Large Cap,USA,0.76,0.12,0.06,0.03,0.02,0.01
QQQ,North America,Nasdaq 100,AMD,Advanced Micro Devices Inc.,0.03,Technology,United States,North America,USD,Large Cap,USA,0.32,0.18,0.24,0.20,0.03,0.03
QQQ,North America,Nasdaq 100,ADBE,Adobe Inc.,0.02,Technology,United States,North America,USD,Large Cap,USA,0.54,0.20,0.12,0.08,0.03,0.03

